dt,total_value,cash
2025-06-03T15:00:00+08:00,100000.0,100000.0
2025-06-03T15:00:00+08:00,100000.0,100000.0
2025-06-04T15:00:00+08:00,100000.0,100000.0
2025-06-04T15:00:00+08:00,100000.0,100000.0
2025-06-05T15:00:00+08:00,100000.0,100000.0
2025-06-05T15:00:00+08:00,100000.0,100000.0
2025-06-06T15:00:00+08:00,100000.0,100000.0
2025-06-06T15:00:00+08:00,100000.0,100000.0
2025-06-09T15:00:00+08:00,100000.0,100000.0
2025-06-09T15:00:00+08:00,100000.0,100000.0
2025-06-10T15:00:00+08:00,100000.0,100000.0
2025-06-10T15:00:00+08:00,100000.0,100000.0
2025-06-11T15:00:00+08:00,100000.0,100000.0
2025-06-11T15:00:00+08:00,100000.0,100000.0
2025-06-12T15:00:00+08:00,100000.0,100000.0
2025-06-12T15:00:00+08:00,100000.0,100000.0
2025-06-13T15:00:00+08:00,100000.0,100000.0
2025-06-13T15:00:00+08:00,100000.0,100000.0
2025-06-16T15:00:00+08:00,100000.0,100000.0
2025-06-16T15:00:00+08:00,100000.0,100000.0
2025-06-17T15:00:00+08:00,100000.0,100000.0
2025-06-17T15:00:00+08:00,100000.0,100000.0
2025-06-18T15:00:00+08:00,100000.0,100000.0
2025-06-18T15:00:00+08:00,100000.0,100000.0
2025-06-19T15:00:00+08:00,100000.0,100000.0
2025-06-19T15:00:00+08:00,100000.0,100000.0
2025-06-20T15:00:00+08:00,100000.0,100000.0
2025-06-20T15:00:00+08:00,100000.0,100000.0
2025-06-23T15:00:00+08:00,100000.0,100000.0
2025-06-23T15:00:00+08:00,100000.0,100000.0
2025-06-24T15:00:00+08:00,100000.0,100000.0
2025-06-24T15:00:00+08:00,100000.0,100000.0
2025-06-25T15:00:00+08:00,100000.0,100000.0
2025-06-25T15:00:00+08:00,100000.0,100000.0
2025-06-26T15:00:00+08:00,100000.0,100000.0
2025-06-26T15:00:00+08:00,100000.0,100000.0
2025-06-27T15:00:00+08:00,100000.0,100000.0
2025-06-27T15:00:00+08:00,100000.0,100000.0
2025-06-30T15:00:00+08:00,100000.0,100000.0
2025-06-30T15:00:00+08:00,100000.0,100000.0
2025-07-01T15:00:00+08:00,100000.0,100000.0
2025-07-01T15:00:00+08:00,100000.0,100000.0
2025-07-02T15:00:00+08:00,100000.0,100000.0
2025-07-02T15:00:00+08:00,100000.0,100000.0
2025-07-03T15:00:00+08:00,100000.0,100000.0
2025-07-03T15:00:00+08:00,100000.0,100000.0
2025-07-04T15:00:00+08:00,100000.0,100000.0
2025-07-04T15:00:00+08:00,100000.0,100000.0
2025-07-07T15:00:00+08:00,100000.0,100000.0
2025-07-07T15:00:00+08:00,100000.0,100000.0
2025-07-08T15:00:00+08:00,100000.0,100000.0
2025-07-08T15:00:00+08:00,100000.0,100000.0
2025-07-09T15:00:00+08:00,100000.0,100000.0
2025-07-09T15:00:00+08:00,100000.0,100000.0
2025-07-10T15:00:00+08:00,100000.0,100000.0
2025-07-10T15:00:00+08:00,100000.0,100000.0
2025-07-11T15:00:00+08:00,100000.0,100000.0
2025-07-11T15:00:00+08:00,100000.0,100000.0
2025-07-14T15:00:00+08:00,100000.0,100000.0
2025-07-14T15:00:00+08:00,100000.0,100000.0
2025-07-15T15:00:00+08:00,100000.0,100000.0
2025-07-15T15:00:00+08:00,100000.0,100000.0
2025-07-16T15:00:00+08:00,100000.0,100000.0
2025-07-16T15:00:00+08:00,100000.0,100000.0
2025-07-17T15:00:00+08:00,100000.0,100000.0
2025-07-17T15:00:00+08:00,100000.0,100000.0
2025-07-18T15:00:00+08:00,100000.0,100000.0
2025-07-18T15:00:00+08:00,100000.0,100000.0
2025-07-21T15:00:00+08:00,100000.0,100000.0
2025-07-21T15:00:00+08:00,100000.0,100000.0
2025-07-22T15:00:00+08:00,100000.0,100000.0
2025-07-22T15:00:00+08:00,100000.0,100000.0
2025-07-23T15:00:00+08:00,100000.0,100000.0
2025-07-23T15:00:00+08:00,100000.0,100000.0
2025-07-24T15:00:00+08:00,100000.0,100000.0
2025-07-24T15:00:00+08:00,100000.0,100000.0
2025-07-25T15:00:00+08:00,100000.0,100000.0
2025-07-25T15:00:00+08:00,100000.0,100000.0
2025-07-28T15:00:00+08:00,100000.0,100000.0
2025-07-28T15:00:00+08:00,100000.0,100000.0
2025-07-29T15:00:00+08:00,100000.0,100000.0
2025-07-29T15:00:00+08:00,100000.0,100000.0
2025-07-30T15:00:00+08:00,100000.0,100000.0
2025-07-30T15:00:00+08:00,100000.0,100000.0
2025-07-31T15:00:00+08:00,100000.0,100000.0
2025-07-31T15:00:00+08:00,100000.0,100000.0
2025-08-01T15:00:00+08:00,100000.0,100000.0
2025-08-01T15:00:00+08:00,100000.0,100000.0
2025-08-04T15:00:00+08:00,100000.0,100000.0
2025-08-04T15:00:00+08:00,100000.0,100000.0
2025-08-05T15:00:00+08:00,100000.0,100000.0
2025-08-05T15:00:00+08:00,100000.0,100000.0
2025-08-06T15:00:00+08:00,100000.0,100000.0
2025-08-06T15:00:00+08:00,100000.0,100000.0
2025-08-07T15:00:00+08:00,100000.0,100000.0
2025-08-07T15:00:00+08:00,100000.0,100000.0
2025-08-08T15:00:00+08:00,100000.0,100000.0
2025-08-08T15:00:00+08:00,100000.0,100000.0
2025-08-11T15:00:00+08:00,100000.0,100000.0
2025-08-11T15:00:00+08:00,100000.0,100000.0
2025-08-12T15:00:00+08:00,100000.0,100000.0
2025-08-12T15:00:00+08:00,100000.0,100000.0
2025-08-13T15:00:00+08:00,100000.0,100000.0
2025-08-13T15:00:00+08:00,100000.0,100000.0
2025-08-14T15:00:00+08:00,100000.0,100000.0
2025-08-14T15:00:00+08:00,100000.0,100000.0
2025-08-15T15:00:00+08:00,100000.0,100000.0
2025-08-15T15:00:00+08:00,100000.0,100000.0
2025-08-18T15:00:00+08:00,100000.0,100000.0
2025-08-18T15:00:00+08:00,100000.0,100000.0
2025-08-19T15:00:00+08:00,100000.0,100000.0
2025-08-19T15:00:00+08:00,100000.0,100000.0
2025-08-20T15:00:00+08:00,100000.0,100000.0
2025-08-20T15:00:00+08:00,100000.0,100000.0
2025-08-21T15:00:00+08:00,100000.0,100000.0
2025-08-21T15:00:00+08:00,100000.0,100000.0
2025-08-22T15:00:00+08:00,100000.0,100000.0
2025-08-22T15:00:00+08:00,100000.0,100000.0
2025-08-25T15:00:00+08:00,100000.0,100000.0
2025-08-25T15:00:00+08:00,100000.0,100000.0
2025-08-26T15:00:00+08:00,100000.0,100000.0
2025-08-26T15:00:00+08:00,100409.6,20767.2
2025-08-27T15:00:00+08:00,100409.6,20767.2
2025-08-27T15:00:00+08:00,99336.1,20767.2
2025-08-28T15:00:00+08:00,99336.1,20767.2
2025-08-28T15:00:00+08:00,101042.4,20767.2
2025-08-29T15:00:00+08:00,101042.4,20767.2
2025-08-29T15:00:00+08:00,101460.5,20767.2
2025-09-01T15:00:00+08:00,101460.5,20767.2
2025-09-01T15:00:00+08:00,102195.0,20767.2
2025-09-02T15:00:00+08:00,102195.0,20767.2
2025-09-02T15:00:00+08:00,100488.7,20767.2
2025-09-03T15:00:00+08:00,100488.7,20767.2
2025-09-03T15:00:00+08:00,99189.2,20767.2
2025-09-04T15:00:00+08:00,99189.2,20767.2
2025-09-04T15:00:00+08:00,97369.9,20767.2
2025-09-05T15:00:00+08:00,97369.9,20767.2
2025-09-05T15:00:00+08:00,99991.5,20767.2
2025-09-08T15:00:00+08:00,99991.5,20767.2
2025-09-08T15:00:00+08:00,100692.1,20767.2
2025-09-09T15:00:00+08:00,100692.1,20767.2
2025-09-09T15:00:00+08:00,99935.0,20767.2
2025-09-10T15:00:00+08:00,99935.0,20767.2
2025-09-10T15:00:00+08:00,99901.1,20767.2
2025-09-11T15:00:00+08:00,99901.1,20767.2
2025-09-11T15:00:00+08:00,102398.4,20767.2
2025-09-12T15:00:00+08:00,102398.4,20767.2
2025-09-12T15:00:00+08:00,102601.8,20767.2
2025-09-15T15:00:00+08:00,102601.8,20767.2
2025-09-15T15:00:00+08:00,102421.0,20767.2
2025-09-16T15:00:00+08:00,102421.0,20767.2
2025-09-16T15:00:00+08:00,103053.8,20767.2
2025-09-17T15:00:00+08:00,103053.8,20767.2
2025-09-17T15:00:00+08:00,103901.3,20767.2
2025-09-18T15:00:00+08:00,103901.3,20767.2
2025-09-18T15:00:00+08:00,103166.8,20767.2
2025-09-19T15:00:00+08:00,103166.8,20767.2
2025-09-19T15:00:00+08:00,102816.5,20767.2
2025-09-22T15:00:00+08:00,102816.5,20767.2
2025-09-22T15:00:00+08:00,103460.6,20767.2
2025-09-23T15:00:00+08:00,103460.6,20767.2
2025-09-23T15:00:00+08:00,102997.3,20767.2
2025-09-24T15:00:00+08:00,102997.3,20767.2
2025-09-24T15:00:00+08:00,104748.8,20767.2
2025-09-25T15:00:00+08:00,104748.8,20767.2
2025-09-25T15:00:00+08:00,104850.5,20767.2
2025-09-26T15:00:00+08:00,104850.5,20767.2
2025-09-26T15:00:00+08:00,103664.0,20767.2
2025-09-29T15:00:00+08:00,103664.0,20767.2
2025-09-29T15:00:00+08:00,105087.8,20767.2
2025-09-30T15:00:00+08:00,105087.8,20767.2
2025-09-30T15:00:00+08:00,105731.9,20767.2
2025-10-09T15:00:00+08:00,105731.9,20767.2
2025-10-09T15:00:00+08:00,107200.9,20767.2
2025-10-10T15:00:00+08:00,107200.9,20767.2
2025-10-10T15:00:00+08:00,105573.7,20767.2
2025-10-13T15:00:00+08:00,105573.7,20767.2
2025-10-13T15:00:00+08:00,105166.9,20767.2
2025-10-14T15:00:00+08:00,105166.9,20767.2
2025-10-14T15:00:00+08:00,103132.9,20767.2
2025-10-15T15:00:00+08:00,103132.9,20767.2
2025-10-15T15:00:00+08:00,104308.1,20767.2
2025-10-16T15:00:00+08:00,104308.1,20767.2
2025-10-16T15:00:00+08:00,103664.0,20767.2
2025-10-17T15:00:00+08:00,103664.0,20767.2
2025-10-17T15:00:00+08:00,103439.93,103439.93
2025-10-20T15:00:00+08:00,103439.93,103439.93
2025-10-20T15:00:00+08:00,103439.93,103439.93
2025-10-21T15:00:00+08:00,103439.93,103439.93
2025-10-21T15:00:00+08:00,103439.93,103439.93
2025-10-22T15:00:00+08:00,103506.91,21344.41
2025-10-22T15:00:00+08:00,103506.91,21344.41
2025-10-23T15:00:00+08:00,103821.91,21344.41
2025-10-23T15:00:00+08:00,103821.91,21344.41
2025-10-24T15:00:00+08:00,104819.41,21344.41
2025-10-24T15:00:00+08:00,104819.41,21344.41
2025-10-27T15:00:00+08:00,105799.41,21344.41
2025-10-27T15:00:00+08:00,105799.41,21344.41
2025-10-28T15:00:00+08:00,105379.41,21344.41
2025-10-28T15:00:00+08:00,105379.41,21344.41
2025-10-29T15:00:00+08:00,106429.41,21344.41
2025-10-29T15:00:00+08:00,106429.41,21344.41
2025-10-30T15:00:00+08:00,105746.91,21344.41
2025-10-30T15:00:00+08:00,105746.91,21344.41
2025-10-31T15:00:00+08:00,104574.41,21344.41
2025-10-31T15:00:00+08:00,104574.41,21344.41
2025-11-03T15:00:00+08:00,104696.91,21344.41
2025-11-03T15:00:00+08:00,104696.91,21344.41
2025-11-04T15:00:00+08:00,104101.91,21344.41
2025-11-04T15:00:00+08:00,104101.91,21344.41
2025-11-05T15:00:00+08:00,104206.91,21344.41
2025-11-05T15:00:00+08:00,104206.91,21344.41
2025-11-06T15:00:00+08:00,105431.91,21344.41
2025-11-06T15:00:00+08:00,105431.91,21344.41
2025-11-07T15:00:00+08:00,105256.91,21344.41
2025-11-07T15:00:00+08:00,105256.91,21344.41
2025-11-10T15:00:00+08:00,105466.91,21344.41
2025-11-10T15:00:00+08:00,105466.91,21344.41
2025-11-11T15:00:00+08:00,104696.91,21344.41
2025-11-11T15:00:00+08:00,104696.91,21344.41
2025-11-12T15:00:00+08:00,104731.91,21344.41
2025-11-12T15:00:00+08:00,104731.91,21344.41
2025-11-13T15:00:00+08:00,105554.41,21344.41
2025-11-13T15:00:00+08:00,105554.41,21344.41
2025-11-14T15:00:00+08:00,104311.91,21344.41
