trade_id,order_id,strategy_id,account_id,symbol,side,qty,price,commission,dt,broker_order_id,broker_trade_id
T-44,O-44,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18200.0,4.962,22.58,2021-11-02T15:00:00+08:00,,
T-45,O-45,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18200.0,4.976,22.64,2021-11-12T15:00:00+08:00,,
T-46,O-46,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18200.0,4.91,22.34,2021-11-19T15:00:00+08:00,,
T-47,O-47,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11100.0,8.08,22.42,2021-11-22T15:00:00+08:00,,
T-48,O-48,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11100.0,8.193,22.74,2021-12-10T15:00:00+08:00,,
T-49,O-49,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17500.0,5.137,22.47,2021-12-14T15:00:00+08:00,,
T-50,O-50,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17500.0,4.953,21.67,2021-12-21T15:00:00+08:00,,
T-51,O-51,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10700.0,8.206,21.95,2021-12-23T15:00:00+08:00,,
T-52,O-52,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,10700.0,8.177,21.87,2021-12-28T15:00:00+08:00,,
T-53,O-53,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17700.0,4.96,21.95,2021-12-30T15:00:00+08:00,,
T-54,O-54,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17700.0,4.979,22.03,2022-01-05T15:00:00+08:00,,
T-55,O-55,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10800.0,8.115,21.91,2022-01-07T15:00:00+08:00,,
T-56,O-56,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,10800.0,8.055,21.75,2022-01-10T15:00:00+08:00,,
T-57,O-57,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10800.0,8.085,21.83,2022-01-13T15:00:00+08:00,,
T-58,O-58,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,10800.0,7.95,21.46,2022-01-14T15:00:00+08:00,,
T-59,O-59,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12600.0,6.788,21.38,2022-06-02T15:00:00+08:00,,
T-60,O-60,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12600.0,7.015,22.1,2022-06-23T15:00:00+08:00,,
T-61,O-61,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20000.0,4.429,22.14,2022-06-27T15:00:00+08:00,,
T-62,O-62,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20000.0,4.337,21.68,2022-07-19T15:00:00+08:00,,
T-63,O-63,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11800.0,7.316,21.58,2022-07-21T15:00:00+08:00,,
T-64,O-64,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11800.0,7.055,20.81,2022-08-04T15:00:00+08:00,,
T-65,O-65,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12000.0,7.047,21.14,2022-08-05T15:00:00+08:00,,
T-66,O-66,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12000.0,7.196,21.59,2022-08-25T15:00:00+08:00,,
T-67,O-67,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11800.0,7.228,21.32,2022-08-26T15:00:00+08:00,,
T-68,O-68,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11800.0,6.3,18.59,2022-08-30T15:00:00+08:00,,
T-69,O-69,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12500.0,6.154,19.23,2022-11-07T15:00:00+08:00,,
T-70,O-70,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12500.0,6.169,19.28,2022-11-30T15:00:00+08:00,,
T-71,O-71,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19500.0,3.955,19.28,2022-12-02T15:00:00+08:00,,
T-72,O-72,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19500.0,4.103,20.0,2023-02-06T15:00:00+08:00,,
T-73,O-73,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12500.0,6.336,19.8,2023-02-08T15:00:00+08:00,,
T-74,O-74,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12500.0,6.202,19.38,2023-03-17T15:00:00+08:00,,
T-75,O-75,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12600.0,6.21,19.56,2023-03-20T15:00:00+08:00,,
T-76,O-76,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12600.0,6.199,19.53,2023-03-21T15:00:00+08:00,,
T-77,O-77,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12400.0,6.255,19.39,2023-03-22T15:00:00+08:00,,
T-78,O-78,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12400.0,6.455,20.01,2023-04-19T15:00:00+08:00,,
T-79,O-79,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19400.0,4.103,19.9,2023-04-21T15:00:00+08:00,,
T-80,O-80,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19400.0,4.029,19.54,2023-04-24T15:00:00+08:00,,
T-81,O-81,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19400.0,4.059,19.69,2023-05-09T15:00:00+08:00,,
T-82,O-82,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19400.0,4.017,19.48,2023-05-10T15:00:00+08:00,,
T-83,O-83,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19600.0,3.979,19.5,2023-06-19T15:00:00+08:00,,
T-84,O-84,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19600.0,3.941,19.31,2023-06-20T15:00:00+08:00,,
T-85,O-85,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19500.0,3.96,19.3,2023-07-14T15:00:00+08:00,,
T-86,O-86,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19500.0,3.925,19.13,2023-07-18T15:00:00+08:00,,
T-87,O-87,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19300.0,3.98,19.2,2023-07-26T15:00:00+08:00,,
T-88,O-88,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19300.0,3.902,18.83,2023-08-16T15:00:00+08:00,,
T-89,O-89,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19300.0,3.91,18.87,2023-09-05T15:00:00+08:00,,
T-90,O-90,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19300.0,3.88,18.72,2023-09-06T15:00:00+08:00,,
T-91,O-91,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13000.0,5.752,18.69,2023-11-16T15:00:00+08:00,,
T-92,O-92,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13000.0,5.689,18.49,2023-11-17T15:00:00+08:00,,
T-93,O-93,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12900.0,5.769,18.61,2023-11-21T15:00:00+08:00,,
T-94,O-94,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12900.0,5.661,18.26,2023-11-23T15:00:00+08:00,,
T-95,O-95,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,21600.0,3.383,18.27,2024-02-20T15:00:00+08:00,,
T-96,O-96,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,21600.0,3.487,18.83,2024-02-28T15:00:00+08:00,,
T-97,O-97,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13800.0,5.423,18.71,2024-03-01T15:00:00+08:00,,
T-98,O-98,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13800.0,5.488,18.93,2024-03-14T15:00:00+08:00,,
T-99,O-99,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,21200.0,3.561,18.87,2024-03-18T15:00:00+08:00,,
T-100,O-100,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,21200.0,3.58,18.97,2024-03-21T15:00:00+08:00,,
T-101,O-101,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13900.0,5.459,18.97,2024-03-25T15:00:00+08:00,,
T-102,O-102,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13900.0,5.239,18.21,2024-03-28T15:00:00+08:00,,
T-103,O-103,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20800.0,3.54,18.41,2024-04-01T15:00:00+08:00,,
T-104,O-104,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20800.0,3.524,18.32,2024-04-26T15:00:00+08:00,,
T-105,O-105,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13100.0,5.565,18.23,2024-04-30T15:00:00+08:00,,
T-106,O-106,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13100.0,5.588,18.3,2024-05-15T15:00:00+08:00,,
T-107,O-107,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20200.0,3.635,18.36,2024-05-17T15:00:00+08:00,,
T-108,O-108,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20200.0,3.567,18.01,2024-06-11T15:00:00+08:00,,
T-109,O-109,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20200.0,3.565,18.0,2024-07-19T15:00:00+08:00,,
T-110,O-110,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20200.0,3.495,17.65,2024-07-24T15:00:00+08:00,,
T-111,O-111,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,14900.0,4.85,18.07,2024-09-25T15:00:00+08:00,,
