dt,total_value,cash
2025-11-03T15:00:00+08:00,103912.38,29522.38
2025-11-04T15:00:00+08:00,102652.38,29522.38
2025-11-05T15:00:00+08:00,102822.38,29522.38
2025-11-06T15:00:00+08:00,104032.38,29522.38
2025-11-07T15:00:00+08:00,103922.38,29522.38
2025-11-10T15:00:00+08:00,104002.38,29522.38
2025-11-11T15:00:00+08:00,103462.38,29522.38
2025-11-12T15:00:00+08:00,103082.38,29522.38
2025-11-13T15:00:00+08:00,104172.38,29522.38
2025-11-14T15:00:00+08:00,102902.38,29522.38
2025-11-17T15:00:00+08:00,102882.38,29522.38
2025-11-18T15:00:00+08:00,102142.38,29522.38
2025-11-19T15:00:00+08:00,101792.38,29522.38
2025-11-20T15:00:00+08:00,101222.38,29522.38
2025-11-21T15:00:00+08:00,98742.38,29522.38
2025-11-24T15:00:00+08:00,99222.38,29522.38
2025-11-25T15:00:00+08:00,100062.38,29522.38
2025-11-26T15:00:00+08:00,100172.38,29522.38
2025-11-27T15:00:00+08:00,100022.38,29522.38
2025-11-28T15:00:00+08:00,100004.76,100004.76
2025-12-01T15:00:00+08:00,100004.76,100004.76
2025-12-02T15:00:00+08:00,100004.76,100004.76
2025-12-03T15:00:00+08:00,100004.76,100004.76
2025-12-04T15:00:00+08:00,100004.76,100004.76
2025-12-05T15:00:00+08:00,100004.76,100004.76
2025-12-08T15:00:00+08:00,100004.76,100004.76
2025-12-09T15:00:00+08:00,100004.76,100004.76
2025-12-10T15:00:00+08:00,100004.76,100004.76
2025-12-11T15:00:00+08:00,100004.76,100004.76
2025-12-12T15:00:00+08:00,100004.76,100004.76
2025-12-15T15:00:00+08:00,100004.76,100004.76
2025-12-16T15:00:00+08:00,100004.76,100004.76
2025-12-17T15:00:00+08:00,100004.76,100004.76
2025-12-18T15:00:00+08:00,100004.76,100004.76
2025-12-19T15:00:00+08:00,100004.76,100004.76
2025-12-22T15:00:00+08:00,100004.76,100004.76
2025-12-23T15:00:00+08:00,100004.76,100004.76
2025-12-24T15:00:00+08:00,100004.76,100004.76
2025-12-25T15:00:00+08:00,100004.76,100004.76
2025-12-26T15:00:00+08:00,100004.76,100004.76
2025-12-29T15:00:00+08:00,100004.76,100004.76
2025-12-30T15:00:00+08:00,100004.76,100004.76
2025-12-31T15:00:00+08:00,100055.81,24175.81
2026-01-05T15:00:00+08:00,102095.81,24175.81
2026-01-06T15:00:00+08:00,103785.81,24175.81
2026-01-07T15:00:00+08:00,104165.81,24175.81
2026-01-08T15:00:00+08:00,104415.81,24175.81
2026-01-09T15:00:00+08:00,106335.81,24175.81
2026-01-12T15:00:00+08:00,108335.81,24175.81
2026-01-13T15:00:00+08:00,107235.81,24175.81
