exchange,date,is_open
SH,2025-06-03,True
SH,2025-06-04,True
SH,2025-06-05,True
SH,2025-06-06,True
SH,2025-06-09,True
SH,2025-06-10,True
SH,2025-06-11,True
SH,2025-06-12,True
SH,2025-06-13,True
SH,2025-06-16,True
SH,2025-06-17,True
SH,2025-06-18,True
SH,2025-06-19,True
SH,2025-06-20,True
SH,2025-06-23,True
SH,2025-06-24,True
SH,2025-06-25,True
SH,2025-06-26,True
SH,2025-06-27,True
SH,2025-06-30,True
SH,2025-07-01,True
SH,2025-07-02,True
SH,2025-07-03,True
SH,2025-07-04,True
SH,2025-07-07,True
SH,2025-07-08,True
SH,2025-07-09,True
SH,2025-07-10,True
SH,2025-07-11,True
SH,2025-07-14,True
SH,2025-07-15,True
SH,2025-07-16,True
SH,2025-07-17,True
SH,2025-07-18,True
SH,2025-07-21,True
SH,2025-07-22,True
SH,2025-07-23,True
SH,2025-07-24,True
SH,2025-07-25,True
SH,2025-07-28,True
SH,2025-07-29,True
SH,2025-07-30,True
SH,2025-07-31,True
SH,2025-08-01,True
SH,2025-08-04,True
SH,2025-08-05,True
SH,2025-08-06,True
SH,2025-08-07,True
SH,2025-08-08,True
SH,2025-08-11,True
SH,2025-08-12,True
SH,2025-08-13,True
SH,2025-08-14,True
SH,2025-08-15,True
SH,2025-08-18,True
SH,2025-08-19,True
SH,2025-08-20,True
SH,2025-08-21,True
SH,2025-08-22,True
SH,2025-08-25,True
SH,2025-08-26,True
SH,2025-08-27,True
SH,2025-08-28,True
SH,2025-08-29,True
SH,2025-09-01,True
SH,2025-09-02,True
SH,2025-09-03,True
SH,2025-09-04,True
SH,2025-09-05,True
SH,2025-09-08,True
SH,2025-09-09,True
SH,2025-09-10,True
SH,2025-09-11,True
SH,2025-09-12,True
SH,2025-09-15,True
SH,2025-09-16,True
SH,2025-09-17,True
SH,2025-09-18,True
SH,2025-09-19,True
SH,2025-09-22,True
SH,2025-09-23,True
SH,2025-09-24,True
SH,2025-09-25,True
SH,2025-09-26,True
SH,2025-09-29,True
SH,2025-09-30,True
SH,2025-10-09,True
SH,2025-10-10,True
SH,2025-10-13,True
SH,2025-10-14,True
SH,2025-10-15,True
SH,2025-10-16,True
SH,2025-10-17,True
SH,2025-10-20,True
SH,2025-10-21,True
SH,2025-10-22,True
SH,2025-10-23,True
SH,2025-10-24,True
SH,2025-10-27,True
SH,2025-10-28,True
SH,2025-10-29,True
SH,2025-10-30,True
SH,2025-10-31,True
SH,2025-11-03,True
SH,2025-11-04,True
SH,2025-11-05,True
SH,2025-11-06,True
SH,2025-11-07,True
SH,2025-11-10,True
SH,2025-11-11,True
SH,2025-11-12,True
SH,2025-11-13,True
SH,2025-11-14,True
SH,2025-11-17,True
SH,2025-11-18,True
SH,2025-11-19,True
SH,2025-11-20,True
SH,2025-11-21,True
