symbol,ex_date,factor
510300.SH,2020-01-02,0.8816582308990117
510300.SH,2020-01-03,0.8813723121526938
510300.SH,2020-01-06,0.8809119573126364
510300.SH,2020-01-07,0.8818291215403129
510300.SH,2020-01-08,0.88065143412737
510300.SH,2020-01-09,0.8819143819143818
510300.SH,2020-01-10,0.8818859754630743
510300.SH,2020-01-13,0.8831508805330794
510300.SH,2020-01-14,0.8826481835564053
510300.SH,2020-01-15,0.8817437379576107
510300.SH,2020-01-16,0.8815726000964785
510300.SH,2020-01-17,0.8817152493375091
510300.SH,2020-01-20,0.8825639799091126
510300.SH,2020-01-21,0.8803897685749086
510300.SH,2020-01-22,0.8807963097839282
510300.SH,2020-01-23,0.8771271271271271
510300.SH,2020-02-03,0.8658103306914459
510300.SH,2020-02-04,0.869761273209549
510300.SH,2020-02-05,0.8710270554242185
510300.SH,2020-02-06,0.8740056453682321
510300.SH,2020-02-07,0.8737139917695473
510300.SH,2020-02-10,0.8741348372212254
510300.SH,2020-02-11,0.8754755262490489
510300.SH,2020-02-12,0.8763535633341727
510300.SH,2020-02-13,0.8756962025316456
510300.SH,2020-02-14,0.8765401056072417
510300.SH,2020-02-17,0.8791830708661417
510300.SH,2020-02-18,0.8784352562515475
510300.SH,2020-02-19,0.8784653465346535
510300.SH,2020-02-20,0.8811425804889857
510300.SH,2020-02-21,0.8815440289505428
510300.SH,2020-02-24,0.8805933852140078
510300.SH,2020-02-25,0.8803606237816763
510300.SH,2020-02-26,0.8793611793611793
510300.SH,2020-02-27,0.8793908130680423
510300.SH,2020-02-28,0.8751589117721842
510300.SH,2020-03-02,0.8795387634936213
510300.SH,2020-03-03,0.8794500368278909
510300.SH,2020-03-04,0.8803022915650902
510300.SH,2020-03-05,0.883095238095238
510300.SH,2020-03-06,0.8808541616112593
510300.SH,2020-03-09,0.8769423558897242
510300.SH,2020-03-10,0.8795978420794507
510300.SH,2020-03-11,0.8775866367489404
510300.SH,2020-03-12,0.8756332320162107
